19	15
19	11
17	12
14	23
4	15
3	3
5	15
16	23
8	5
3	3
10	6
6	31
26	5
5	5
15	6
21	22
21	10
35	5
8	50
4	22
5	24
6	17
30	16
4	17
3	7
13	17
6	16
22	17
32	7
24	8
15	10
14	8
26	92
31	8
6	10
16	8
16	92
5	8
10	9
9	4
8	5
35	8
15	9
6	4
26	5
24	5
6	8
20	4
3	17
31	5
5	8
22	4
32	17
5	5
12	40
5	29
10	5
35	5
9	33
38	7
24	5
11	44
6	33
33	7
2	8
12	44
6	37
7	32
19	8
38	17
5	35
5	32
3	7
57	17
21	13
30	49
3	7
13	5
4	13
5	22
13	10
17	5
4	17
9	22
4	27
8	17
22	17
6	37
10	14
36	20
16	34
6	31
24	14
21	20
6	32
16	31
2	11
13	12
5	32
2	7
25	7
3	8
4	10
2	4
11	12
12	65
47	10
25	11
33	22
5	5
3	11
8	34
2	5
16	5
12	11
7	7
25	5
6	9
14	7
2	7
27	10
3	9
12	7
10	29
11	10
41	9
3	18
2	10
5	15
17	3
5	18
5	10
9	15
13	3
12	10
59	19
5	30
6	8
9	10
9	23
11	13
8	8
9	49
22	15
30	13
17	6
5	7
3	15
30	21
13	6
3	7
2	9
7	17
5	11
26	11
4	7
5	17
16	11
4	8
1	7
6	24
6	2
47	8
4	2
6	22
10	2
3	7
1	2
10	22
6	7
12	7
7	10
3	2
3	7
12	39
59	10
3	2
8	10
9	39
22	8
8	10
14	3
5	4
3	8
6	18
12	3
3	4
11	8
3	3
51	8
30	8
5	3
15	8
3	8
10	26
7	4
