15	75
14	5
11	10
1	1
12	80
5	2
5	25
2	1
27	6
7	2
7	26
11	56
3	13
12	9
10	44
10	39
10	3
2	1
19	4
5	5
9	21
12	8
8	31
3	20
8	11
5	28
33	6
2	1
6	13
8	6
11	73
2	7
2	9
35	7
8	27
7	6
51	10
7	14
6	2
13	12
6	6
10	45
2	9
17	34
11	12
4	19
25	9
16	46
2	10
13	17
9	39
1	1
8	12
62	9
9	17
6	13
13	47
36	11
12	7
3	12
14	37
38	18
21	101
6	10
3	11
4	2
3	10
9	15
3	6
9	5
3	7
6	24
1	4
8	3
4	10
1	1
1	6
30	20
8	22
5	7
27	5
6	7
5	3
4	1
14	3
36	10
2	1
2	13
10	4
27	7
1	2
11	9
5	20
17	3
22	59
1	6
3	11
6	4
1	2
3	16
7	11
30	8
4	2
6	32
8	15
26	7
6	7
1	5
6	10
16	32
13	3
12	5
6	21
71	25
29	5
7	33
3	9
12	25
2	2
2	8
1	4
22	20
8	15
6	11
10	7
9	55
5	28
9	9
3	3
13	27
8	42
4	27
5	15
65	16
4	27
10	11
2	4
1	3
3	2
38	9
33	8
5	2
18	4
5	7
16	5
16	57
17	5
6	2
9	12
2	1
2	8
3	6
10	11
3	3
2	11
6	2
6	3
3	2
1	2
32	5
10	11
25	11
3	18
12	4
39	8
11	8
17	10
16	3
17	113
6	4
7	5
72	15
13	36
10	9
3	10
14	14
28	8
25	8
5	31
2	6
17	7
10	6
19	9
3	9
42	9
12	15
7	8
12	3
22	57
6	19
10	3
2	1
2	4
11	37
15	9
4	7
1	4
