19	21
33	10
12	23
2	4
6	21
16	9
9	9
4	4
6	18
3	9
16	9
11	11
41	18
8	4
6	18
29	11
22	14
17	4
20	13
10	54
13	14
20	9
21	13
13	54
8	13
19	9
5	25
13	70
14	13
8	15
6	25
7	13
31	20
6	6
19	25
3	13
8	7
5	6
7	16
7	25
14	7
3	6
5	16
2	12
22	54
5	6
9	9
4	12
13	54
17	23
16	9
11	32
6	23
5	28
20	12
22	9
8	13
6	28
21	12
7	9
33	13
11	53
23	10
7	12
6	22
20	6
12	10
3	12
5	22
19	6
7	9
16	33
11	28
3	17
5	9
8	33
19	56
5	17
25	7
14	21
12	56
39	12
6	7
7	21
16	11
8	12
16	47
6	27
3	11
31	8
16	14
6	10
6	20
41	8
8	14
16	10
8	10
23	23
21	16
7	23
10	45
29	11
4	9
3	10
7	45
9	26
22	14
6	10
2	10
4	26
9	7
4	24
4	10
17	35
9	7
5	21
16	13
12	6
17	4
21	21
14	6
12	6
3	4
19	21
7	6
4	4
19	17
8	21
2	3
10	4
8	17
19	17
4	3
8	10
8	11
21	17
13	13
13	2
5	11
9	15
14	13
6	2
7	10
5	6
7	8
10	12
20	10
13	6
33	8
3	12
9	7
19	14
16	34
22	16
9	7
4	14
12	28
18	16
19	20
5	9
12	28
7	20
4	20
4	7
7	30
17	16
4	10
9	7
4	19
3	16
26	10
5	3
29	19
13	8
19	11
21	3
10	51
6	8
21	11
4	2
13	51
8	10
3	3
9	2
13	25
19	10
6	3
4	21
10	8
18	13
10	21
3	8
8	27
4	11
9	9
5	27
